nombre,region,presupuesto_total,gasto_educacion,gasto_salud,gasto_infraestructura,m2_areas_verdes,m2_plazas,numero_parques,matricula_total,promedio_simce_matematica,promedio_simce_lenguaje,observaciones_contraloria,anno
María Elena,Antofagasta,887712390000,257436593100,284067964800,79894115100,191148,32495,4,18048,248,247,0,2023
Copiapó,Atacama,60904540000,22534679800,21316589000,9135681000,394554,35510,7,1798,237,248,0,2023
Caldera,Atacama,577807560000,173342268000,138673814400,52002680400,376250,41388,8,27809,249,252,0,2023
Tierra Amarilla,Atacama,935703600000,271354044000,233925900000,84213324000,159689,22356,4,23393,274,271,0,2023
Chañaral,Atacama,811358600000,316429854000,219066822000,105476618000,294159,52949,6,15553,229,244,0,2023
Vallenar,Atacama,451347750000,139917802500,112836937500,54161730000,376894,30152,7,21493,275,283,0,2023
Alto del Carmen,Atacama,1250998540000,487889430600,362789576600,162629810200,57659,8649,1,33948,235,240,0,2023
Freirina,Atacama,216043700000,69133984000,51850488000,25925244000,421384,58994,10,8076,233,248,0,2023
Huasco,Atacama,317554350000,101617392000,73037500500,41282065500,485656,67992,10,11680,258,267,0,2023
Diego de Almagro,Atacama,219495600000,74628504000,59263812000,19754604000,223122,31237,4,5134,272,282,0,2023
La Serena,Coquimbo,180480820000,63168287000,55949054200,16243273800,205499,36990,4,5618,266,266,0,2023
Coquimbo,Coquimbo,890078400000,347130576000,249221952000,80107056000,463128,46313,9,35232,236,232,0,2023
Andacollo,Coquimbo,589350480000,176805144000,182698648800,106083086400,306531,39849,7,20622,247,247,0,2023
La Higuera,Coquimbo,752269100000,225680730000,233203421000,105317674000,104967,16795,2,17408,260,262,0,2023
Paihuano,Coquimbo,473713940000,184748436600,118428485000,37897115200,433997,47740,9,15119,259,254,0,2023
Vicuña,Coquimbo,1013955720000,314326273200,223070258400,141953800800,51239,4099,1,35074,271,284,0,2023
Illapel,Coquimbo,792648000000,237794400000,237794400000,118897200000,169240,27078,3,26683,238,242,0,2023
Canela,Coquimbo,106539840000,30896553600,26634960000,11719382400,422608,67617,10,2408,273,283,0,2023
Los Vilos,Coquimbo,1077522900000,323256870000,258605496000,86201832000,424608,59445,8,25568,233,242,0,2023
Salamanca,Coquimbo,1412508300000,565003320000,339001992000,240126411000,466593,74655,8,38073,265,263,0,2023
Ovalle,Coquimbo,583734960000,233493984000,140096390400,58373496000,498270,54810,8,18830,228,227,0,2023
Combarbalá,Coquimbo,448820980000,157087343000,143622713600,80787776400,198679,31789,4,25720,246,259,0,2023
Monte Patria,Coquimbo,529131090000,206361125100,132282772500,84660974400,139674,19554,2,18080,232,235,0,2023
Punitaqui,Coquimbo,557452980000,189534013200,122639655600,89192476800,65270,6527,1,11460,233,240,0,2023
Río Hurtado,Coquimbo,646332210000,193899663000,219752951400,96949831500,253276,45590,4,24723,237,240,0,2023
Valparaíso,Valparaíso,491163750000,201377137500,112967662500,63851287500,316947,53881,5,14553,270,285,0,2023
Viña del Mar,Valparaíso,151625100000,43971279000,53068785000,27292518000,116921,16369,2,8270,260,265,0,2023
Concón,Valparaíso,569289420000,170786826000,142322355000,79700518800,298334,38783,5,26103,246,243,0,2023
Quilpué,Valparaíso,282328490000,101638256400,64935552700,28232849000,144604,13014,3,17593,230,233,0,2023
Villa Alemana,Valparaíso,1317372000000,513775080000,461080200000,197605800000,491726,63924,9,26347,270,279,0,2023
Petorca,Valparaíso,981626880000,392650752000,255222988800,137427763200,203673,26477,4,42179,235,238,0,2023
La Ligua,Valparaíso,501970400000,185729048000,135532008000,55216744000,61670,10484,1,28645,240,235,0,2023
Cabildo,Valparaíso,515208320000,185474995200,175170828800,66977081600,170406,18745,3,10246,249,261,0,2023
Zapallar,Valparaíso,302434080000,117949291200,99803246400,27219067200,419973,62996,8,8724,226,228,0,2023
Papudo,Valparaíso,1802612160000,703018742400,522757526400,288417945600,304259,51724,7,42470,246,254,0,2023
Los Andes,Valparaíso,427408800000,128222640000,132496728000,68385408000,134018,13402,3,8355,249,256,0,2023
Calle Larga,Valparaíso,904907160000,262423076400,253374004800,117637930800,51253,4100,1,28456,258,268,0,2023
Rinconada,Valparaíso,725112900000,232036128000,246538386000,101515806000,64173,10909,1,15239,245,240,0,2023
San Esteban,Valparaíso,182721420000,62125282800,47507569200,23753784600,317991,54058,6,3022,245,245,0,2023
La Cruz,Valparaíso,938375280000,281512584000,262745078400,103221280800,251899,22671,4,28962,224,234,0,2023
Quillota,Valparaíso,1940704080000,582211224000,465768979200,271698571200,223043,37917,4,47625,256,261,0,2023
Calera,Valparaíso,660716640000,231250824000,178393492800,92500329600,323380,29104,6,27974,256,259,0,2023
Hijuelas,Valparaíso,975076420000,380279803800,214516812400,87756877800,297776,29778,5,45912,249,258,0,2023
Nogales,Valparaíso,1328837300000,451804682000,451804682000,106306984000,384921,57738,6,29033,225,234,0,2023
San Antonio,Valparaíso,768499900000,245919968000,169069978000,99904987000,393166,39317,8,25438,251,260,0,2023
Algarrobo,Valparaíso,1499722980000,584891962200,479911353600,194963987400,96245,17324,2,23774,236,241,0,2023
Cartagena,Valparaíso,725112900000,232036128000,246538386000,101515806000,64173,10909,1,15239,245,240,0,2023
El Quisco,Valparaíso,655512600000,196653780000,163878150000,78661512000,63541,11437,1,28639,255,260,0,2023
El Tabo,Valparaíso,1591604970000,557061739500,397901242500,143244447300,387928,65948,9,30819,269,283,0,2023
Santo Domingo,Valparaíso,1764833700000,652988469000,564746784000,282373392000,50358,5539,1,41248,265,267,0,2023
San Felipe,Valparaíso,362303160000,119560042800,83329726800,54345474000,53535,5354,1,8096,269,270,0,2023
Catemu,Valparaíso,709663580000,298058703600,234188981400,120642808600,492285,63997,11,15743,246,252,0,2023
Llaillay,Valparaíso,881226210000,326053697700,193869766200,79310358900,418614,71164,7,20104,256,270,0,2023
Panquehue,Valparaíso,1272432000000,381729600000,292659360000,229037760000,349316,45411,6,30837,236,251,0,2023
Putaendo,Valparaíso,723144640000,282026409600,253100624000,57851571200,446466,40182,9,33402,229,240,0,2023
Santa María,Valparaíso,237820380000,68967910200,61833298800,33294853200,65334,5880,1,3617,230,235,0,2023
Limache,Valparaíso,340445440000,129369267200,98729177600,30640089600,368885,40577,7,9054,222,231,0,2023
Olmué,Valparaíso,1249739870000,487398549300,362424562300,124973987000,243177,24318,5,18770,242,251,0,2023
Santiago,Metropolitana,1104077450000,408508656500,320182460500,99366970500,1506939,135625,32,53567,230,242,0,2023
Cerrillos,Metropolitana,801882840000,304715479200,272640165600,144338911200,936369,84273,21,17905,242,251,0,2023
Cerro Navia,Metropolitana,1603910980000,513251513600,352860415600,208508427400,2335254,233525,46,53091,261,270,0,2023
Conchalí,Metropolitana,364545050000,120299866500,87490812000,47390856500,638096,57429,10,9364,241,243,0,2023
El Bosque,Metropolitana,2082407650000,832963060000,562250065500,270712994500,2390506,382481,48,72783,268,279,0,2023
Estación Central,Metropolitana,1904319000000,571295700000,514166130000,190431900000,1473404,221011,32,84636,261,272,0,2023
Huechuraba,Metropolitana,742489600000,230171776000,222746880000,96523648000,2294175,298243,45,31081,258,255,0,2023
Independencia,Metropolitana,1625504920000,585181771200,390121180800,227570688800,1244192,111977,26,55250,237,235,0,2023
La Cisterna,Metropolitana,1753334100000,526000230000,578600253000,192866751000,813392,113875,14,38308,267,273,0,2023
La Florida,Metropolitana,1315993400000,421117888000,434277822000,118439406000,871068,130660,18,31839,254,264,0,2023
La Granja,Metropolitana,1541560680000,493299417600,477883810800,184987281600,1155787,161810,22,26792,260,261,0,2023
La Pintana,Metropolitana,2256951660000,812502597600,541668398400,293403715800,655596,91783,16,54677,262,258,0,2023
La Reina,Metropolitana,4129561560000,1651824624000,949799158800,371660540400,1557814,171360,26,106173,248,247,0,2023
Las Condes,Metropolitana,1066017700000,415746903000,309145133000,159902655000,1178073,106027,22,62913,265,263,0,2023
Lo Barnechea,Metropolitana,1768113900000,601158726000,601158726000,247535946000,655427,65543,13,57782,262,261,0,2023
Lo Espejo,Metropolitana,3168519840000,950555952000,760444761600,411907579200,313769,53341,7,64461,245,247,0,2023
Lo Prado,Metropolitana,3539307480000,1026399169200,1238757618000,530896122000,577130,63484,14,75910,272,267,0,2023
Macul,Metropolitana,1989694440000,676496109600,557114443200,198969444000,2281094,296542,43,69057,246,258,0,2023
Maipú,Metropolitana,1903389370000,742321854300,647152385800,190338937000,1133472,170021,25,90228,247,243,0,2023
Ñuñoa,Metropolitana,490209720000,191181790800,166671304800,58825166400,2335271,373643,39,10090,233,233,0,2023
Pedro Aguirre Cerda,Metropolitana,1618199100000,534005703000,420731766000,161819910000,1422883,213432,29,92469,274,282,0,2023
Peñalolén,Metropolitana,1847790600000,628248804000,628248804000,332602308000,522374,67909,10,86061,234,240,0,2023
Providencia,Metropolitana,520234750000,218498595000,135261035000,52023475000,2627449,341568,55,18229,233,232,0,2023
Pudahuel,Metropolitana,808141700000,242442510000,266686761000,96977004000,828014,132482,17,40514,236,244,0,2023
Quilicura,Metropolitana,3550614640000,1384739709600,1207208977600,603604488800,2773426,388280,54,104090,256,258,0,2023
Quinta Normal,Metropolitana,732813840000,271141120800,197859736800,95265799200,675784,54063,15,11103,253,256,0,2023
Recoleta,Metropolitana,530902090000,212360836000,169888668800,79635313500,668510,80221,14,30146,245,247,0,2023
Renca,Metropolitana,1184091090000,390750059700,272340950700,165772752600,2433401,389344,55,31204,232,244,0,2023
San Joaquín,Metropolitana,1352888900000,487040004000,473511115000,135288890000,908265,81744,15,40251,253,254,0,2023
San Miguel,Metropolitana,827264880000,281270059200,198543571200,99271785600,2281559,228156,41,50378,262,276,0,2023
San Ramón,Metropolitana,863102160000,276192691200,224406561600,138096345600,1360255,122423,33,38511,250,251,0,2023
Vitacura,Metropolitana,411936300000,168893883000,102984075000,61790445000,2766868,359693,51,11574,241,236,0,2023
Puente Alto,Metropolitana,1511716400000,453514920000,423280592000,211640296000,2485526,248553,50,81714,238,249,0,2023
Pirque,Metropolitana,2231776000000,781121600000,758803840000,401719680000,2955247,443287,69,96634,265,274,0,2023
San José de Maipo,Metropolitana,260663280000,106871944800,75592351200,44312757600,517122,82740,11,10861,255,253,0,2023
Colina,Metropolitana,1564250480000,547487668000,500560153600,125140038400,1252450,187868,25,39338,262,268,0,2023
Lampa,Metropolitana,3060181800000,1193470902000,734443632000,367221816000,2115122,253815,42,109853,242,240,0,2023
Tiltil,Metropolitana,2231776000000,781121600000,758803840000,401719680000,2955247,443287,69,96634,265,274,0,2023
San Bernardo,Metropolitana,3663430700000,1208932131000,1135663517000,512880298000,1955448,293317,34,104812,247,246,0,2023
Buin,Metropolitana,2545301920000,763590576000,687231518400,330889249600,1184883,130337,26,50287,266,261,0,2023
Calera de Tango,Metropolitana,1968185670000,669183127800,629819414400,314909707200,1846760,332417,44,41490,247,242,0,2023
Paine,Metropolitana,1227048020000,515360168400,368114406000,110434321800,1002182,160349,23,51253,258,263,0,2023
Melipilla,Metropolitana,3138750750000,1098562762500,941625225000,313875075000,809543,89050,19,71211,264,267,0,2023
Alhué,Metropolitana,732308590000,256308006500,248984920600,109846288500,2928433,322128,66,47707,255,253,0,2023
Curacaví,Metropolitana,2876746600000,1150698640000,978093844000,460279456000,1810483,181048,30,95732,251,259,0,2023
María Pinto,Metropolitana,2294095440000,688228632000,596464814400,229409544000,816250,130600,18,40966,232,243,0,2023
San Pedro,Metropolitana,586548050000,193560856500,164233454000,70385766000,344220,55075,6,25941,279,277,0,2023
Talagante,Metropolitana,1979192160000,771884942400,514589961600,178127294400,2858186,314400,49,37485,277,277,0,2023
El Monte,Metropolitana,1664787390000,582675586500,499436217000,183126612900,2419417,362913,45,69949,270,279,0,2023
Isla de Maipo,Metropolitana,1352888900000,487040004000,473511115000,135288890000,908265,81744,15,40251,253,254,0,2023
Padre Hurtado,Metropolitana,2070844560000,600544922400,476294248800,289918238400,2068126,186131,46,78782,273,278,0,2023
Peñaflor,Metropolitana,1606102000000,546074680000,513952640000,160610200000,2803989,420598,46,63608,245,256,0,2023
Rancagua,O'Higgins,1890898430000,548360544700,453815623200,170180858700,316721,53843,7,53949,269,277,0,2023
Machalí,O'Higgins,215642760000,81944248800,69005683200,34502841600,304540,30454,5,10056,230,237,0,2023
Olivar,O'Higgins,1671720320000,668688128000,518233299200,150454828800,66840,5347,1,38494,263,263,0,2023
Graneros,O'Higgins,656169370000,242782666900,209974198400,118110486600,123405,19745,2,22627,244,255,0,2023
San Fernando,O'Higgins,142132200000,59695524000,36954372000,21319830000,83802,10894,2,7107,233,232,0,2023
Chimbarongo,O'Higgins,967695300000,377401167000,290308590000,96769530000,86145,14645,2,31317,250,260,0,2023
San Javier,O'Higgins,308284800000,120231072000,92485440000,49325568000,96439,7715,2,14508,265,269,0,2023
Santa Cruz,O'Higgins,163403400000,62093292000,47386986000,21242442000,103136,14439,2,8452,237,238,0,2023
Pichilemu,O'Higgins,1329481800000,505203084000,385549722000,226011906000,398855,43874,8,34383,246,254,0,2023
Litueche,O'Higgins,409392360000,151475173200,122817708000,36845312400,358148,32233,7,18370,253,248,0,2023
La Estrella,O'Higgins,967655340000,280620048600,290296602000,164501407800,155948,18714,4,26942,247,250,0,2023
Marchihue,O'Higgins,447682380000,174596128200,116397418800,76106004600,420432,37839,8,8859,234,238,0,2023
Chepica,O'Higgins,1044706100000,355200074000,313411830000,125364732000,111450,11145,2,39529,242,257,0,2023
Curicó,O'Higgins,717204840000,229505548800,222333500400,86064580800,203608,28505,4,12465,250,251,0,2023
Teno,O'Higgins,1423357440000,498175104000,327372211200,213503616000,283232,42485,5,24093,265,265,0,2023
Romeral,O'Higgins,1215267100000,364580130000,413190814000,109374039000,252358,27759,6,26419,226,236,0,2023
Molina,O'Higgins,501970400000,185729048000,135532008000,55216744000,61670,10484,1,28645,240,235,0,2023
Sagrada Familia,O'Higgins,202431750000,58705207500,54656572500,16194540000,272122,46261,6,9050,254,256,0,2023
Hualañé,O'Higgins,855442760000,290850538400,265187255600,145425269200,309430,52603,7,43589,226,232,0,2023
Licantén,O'Higgins,1266239900000,481171162000,354547172000,151948788000,492532,49253,10,28183,270,272,0,2023
Vichuquén,O'Higgins,117559050000,37618896000,34092124500,15282676500,163940,22952,3,4946,268,282,0,2023
Linares,O'Higgins,493190160000,192344162400,133161343200,78910425600,458818,77999,9,21230,260,271,0,2023
Colbún,O'Higgins,420730200000,126219060000,138840966000,71524134000,57253,10306,1,22949,231,230,0,2023
Longaví,O'Higgins,917436780000,293579769600,302754137400,146789884800,308304,55495,6,20910,221,233,0,2023
Parral,O'Higgins,828573780000,248572134000,207143445000,124286067000,453093,49840,8,33424,264,278,0,2023
San Rafael,O'Higgins,1237167620000,358778609800,408265314600,210318495400,209662,20966,5,46477,252,248,0,2023
Retiro,O'Higgins,508650520000,162768166400,122076124800,61038062400,234029,37445,4,13968,225,240,0,2023
Cauquenes,O'Higgins,1266239900000,481171162000,354547172000,151948788000,492532,49253,10,28183,270,272,0,2023
Palmilla,O'Higgins,798566560000,327412289600,183670308800,119784984000,388323,50482,7,17536,226,235,0,2023
Peralillo,O'Higgins,1088908480000,370228883200,261338035200,163336272000,126200,15144,2,37101,240,237,0,2023
Talca,Maule,660716640000,231250824000,178393492800,92500329600,323380,29104,6,27974,256,259,0,2023
Constitución,Maule,585785500000,181593505000,193309215000,64436405000,244950,31844,5,22649,246,243,0,2023
Curepto,Maule,531639290000,196706537300,154175394100,47847536100,260044,23404,6,25794,220,232,0,2023
Empedrado,Maule,1835460050000,624056417000,532283414500,183546005000,490076,63710,8,56434,252,261,0,2023
Maule,Maule,290765280000,113398459200,75598972800,46522444800,325836,48875,8,12499,263,270,0,2023
Pelarco,Maule,680738240000,204221472000,170184560000,115725500800,419864,37788,10,29923,223,221,0,2023
Pencahue,Maule,1167799500000,338661855000,315305865000,198525915000,78461,12554,1,41601,261,260,0,2023
San Clemente,Maule,110631150000,35401968000,24338853000,15488361000,123429,14811,3,4782,256,265,0,2023
Villa Alegre,Maule,1267965440000,431108249600,355030323200,228233779200,292621,35115,5,53775,243,256,0,2023
Yerbas Bajas,Maule,1267965440000,431108249600,355030323200,228233779200,292621,35115,5,53775,243,256,0,2023
Chanco,Maule,624061000000,255865010000,199699520000,112330980000,377295,33957,7,19787,242,248,0,2023
Pelluhue,Maule,1002020160000,410828265600,340686854400,120242419200,249071,19926,5,22175,258,259,0,2023
Chillán,Ñuble,684678400000,205403520000,212250304000,123242112000,493886,49389,9,16047,266,262,0,2023
Chillán Viejo,Ñuble,1823419950000,692899581000,455854987500,237044593500,295352,41349,5,53257,251,264,0,2023
San Carlos,Ñuble,564106240000,163590809600,152308684800,95898060800,440172,52821,8,24239,266,279,0,2023
San Nicolás,Ñuble,623139200000,243024288000,155784800000,81008096000,57209,6293,1,22958,235,236,0,2023
Ninhue,Ñuble,699118960000,237700446400,202744498400,90885464800,71752,7893,2,18214,230,241,0,2023
Trehuaco,Ñuble,1190036380000,416512733000,297509095000,119003638000,295169,41324,7,35001,267,262,0,2023
Cobquecura,Ñuble,1376556280000,523091386400,412966884000,220249004800,147227,20612,2,35417,260,258,0,2023
Quirihue,Ñuble,781020180000,304597870200,171824439600,124963228800,215311,27990,4,34308,235,233,0,2023
Coelemu,Ñuble,369536190000,129337666500,84993323700,51735066600,186163,33509,4,16743,258,263,0,2023
Ránquil,Ñuble,1563934740000,547377159000,469180422000,156393474000,147962,16276,3,35482,254,257,0,2023
Portezuelo,Ñuble,1056579720000,401500293600,274710727200,105657972000,323757,51801,8,56075,260,274,0,2023
Quilleco,Ñuble,1272432000000,381729600000,292659360000,229037760000,349316,45411,6,30837,236,251,0,2023
Nipas,Ñuble,140859000000,50709240000,46483470000,12677310000,373475,37348,8,3896,267,278,0,2023
Bulnes,Ñuble,148666160000,50546494400,43113186400,20813262400,494578,54404,9,5339,233,237,0,2023
San Fabián,Ñuble,334654810000,130515375900,103742991100,50198221500,294812,32429,7,19513,220,234,0,2023
Coihueco,Ñuble,1100224560000,440089824000,308062876800,176035929600,380662,34260,8,44427,233,238,0,2023
Pemuco,Ñuble,1256569890000,427233762600,427233762600,163354085700,478598,76576,8,31268,268,272,0,2023
Yungay,Ñuble,828996100000,331598440000,207249025000,116059454000,391027,39103,7,25821,237,238,0,2023
El Carmen,Ñuble,614289800000,196572736000,202715634000,55286082000,157850,23678,3,14862,244,254,0,2023
Concepción,Biobío,982890510000,344011678500,265380437700,117946861200,231540,25469,4,30525,246,252,0,2023
Coronel,Biobío,1022882700000,409153080000,276178329000,132974751000,402046,64327,8,35751,258,269,0,2023
Chiguayante,Biobío,1555843500000,606778965000,373402440000,140025915000,111188,8895,2,39036,245,250,0,2023
Florida,Biobío,1722097390000,671617982100,551071164800,309977530200,265214,31826,6,62007,223,218,0,2023
Hualqui,Biobío,1471655760000,515079516000,412063612800,235464921600,493267,39461,11,33338,252,256,0,2023
Lota,Biobío,609137480000,170558494400,194923993600,60913748000,260815,31298,6,12314,259,270,0,2023
Santa Juana,Biobío,744554820000,312713024400,215920897800,134019867600,436814,74258,7,27519,261,256,0,2023
Talcahuano,Biobío,1890814940000,642877079600,586152631400,170173344600,238448,38152,5,46857,230,238,0,2023
Tomé,Biobío,445862400000,182803584000,147134592000,75796608000,229638,25260,4,13056,248,254,0,2023
Penco,Biobío,398143320000,151294461600,95554396800,55740064800,422414,71810,9,9728,220,220,0,2023
Los Ángeles,Biobío,1834474960000,697100484800,440273990400,165102746400,453302,45330,8,57671,269,267,0,2023
Antuco,Biobío,614817640000,209037997600,178297115600,110667175200,165430,16543,4,23561,229,239,0,2023
Cabrero,Biobío,138341880000,42885982800,31818632400,17984444400,447351,58156,9,3083,238,233,0,2023
Laja,Biobío,108891440000,38112004000,25045031200,14155887200,319104,51057,7,3020,231,239,0,2023
Mulchén,Biobío,246056880000,71356495200,59053651200,24605688000,448220,49304,10,6717,249,252,0,2023
Nacimiento,Biobío,1135154100000,385952394000,295140066000,158921574000,375280,41281,7,26936,220,232,0,2023
Negrete,Biobío,282328490000,101638256400,64935552700,28232849000,144604,13014,3,17593,230,233,0,2023
Quilaco,Biobío,1572157260000,471647178000,377317742400,204380443800,68284,11608,1,31984,235,237,0,2023
San Rosendo,Biobío,967971840000,280711833600,290391552000,87117465600,328186,42664,6,43085,243,249,0,2023
Santa Bárbara,Biobío,1063140000000,403993200000,350836200000,191365200000,482891,62776,8,32371,245,251,0,2023
Tucapel,Biobío,484629600000,179312952000,140542584000,67848144000,353721,31835,6,25385,267,264,0,2023
Yumbel,Biobío,1159176120000,394119880800,394119880800,208651701600,122275,18341,3,23452,220,227,0,2023
Cañete,Biobío,2118766160000,847506464000,508503878400,360190247200,466593,74655,8,57110,260,258,0,2023
Contulmo,Biobío,598187330000,179456199000,185438072300,65800606300,142432,17092,3,11230,221,226,0,2023
Curanilahue,Biobío,1149147720000,448167610800,367727270400,103423294800,97163,11660,2,46054,227,228,0,2023
Los Álamos,Biobío,502862400000,160915968000,150858720000,65372112000,298204,23856,7,16049,235,239,0,2023
Lebu,Biobío,1727522120000,604632742000,431880530000,155476990800,200573,20057,3,60712,251,261,0,2023
Arauco,Biobío,796623520000,278818232000,223054585600,71696116800,362685,39895,8,33624,270,276,0,2023
Temuco,La Araucanía,722339540000,281712420600,216701862000,101127535600,347873,52181,6,16286,249,254,0,2023
Padre Las Casas,La Araucanía,45299800000,18119920000,14948934000,4529980000,94909,8542,2,2613,234,239,0,2023
Melipeuco,La Araucanía,660513900000,198154170000,231179865000,105682224000,467852,84213,11,31250,259,260,0,2023
Villarrica,La Araucanía,1021651500000,306495450000,316711965000,102165150000,368531,47909,7,19774,239,247,0,2023
Pucón,La Araucanía,97944000000,38198160000,33300960000,11753280000,393169,62907,7,2016,218,218,0,2023
Curarrehue,La Araucanía,614427600000,184328280000,159751176000,92164140000,55362,4429,1,18975,236,250,0,2023
Loncoche,La Araucanía,429231120000,175984759200,145938580800,72969290400,342749,58267,6,6681,218,213,0,2023
Gorbea,La Araucanía,276611760000,107878586400,91281880800,24895058400,232618,41871,5,11022,219,223,0,2023
Pitrufquén,La Araucanía,475562720000,156935697600,109379425600,76090035200,249476,24948,4,20677,258,256,0,2023
Saavedra,La Araucanía,637237440000,191171232000,210288355200,82840867200,115985,12758,3,16212,220,232,0,2023
Teodoro Schmidt,La Araucanía,142023190000,55389044100,44027188900,24143942300,314488,31449,7,5061,257,261,0,2023
Carahue,La Araucanía,215779200000,90627264000,71207136000,21577920000,299257,50874,5,10275,252,257,0,2023
Omora,La Araucanía,552395600000,193338460000,187814504000,99431208000,492808,73921,11,23918,250,259,0,2023
Angol,La Araucanía,325878310000,101022276100,78210794400,58658095800,221491,24364,5,18957,221,229,0,2023
Collipulli,La Araucanía,345365460000,120877911000,113970601800,51804819000,353044,52957,6,15957,223,230,0,2023
Curacautín,La Araucanía,458035200000,155731968000,105348096000,54964224000,155798,18696,3,24333,231,227,0,2023
Lonquimay,La Araucanía,329277340000,115247069000,105368748800,42806054200,292356,43853,5,10755,231,226,0,2023
Los Sauces,La Araucanía,457495920000,187573327200,100649102400,68624388000,440503,74886,7,12413,260,262,0,2023
Victoria,La Araucanía,761408100000,266492835000,220808349000,114211215000,241639,26580,5,25748,248,263,0,2023
Cunco,La Araucanía,334236800000,100271040000,93586304000,36766048000,439254,74673,9,8524,261,273,0,2023
Cholchol,La Araucanía,96012280000,38404912000,26883438400,12481596400,366824,33014,7,2983,262,272,0,2023
Galvarino,La Araucanía,445737720000,151550824800,142636070400,62403280800,447115,40240,9,20606,223,223,0,2023
Perquenco,La Araucanía,806123520000,282143232000,249898291200,64489881600,346335,48487,8,18194,259,255,0,2023
Tolhuín,La Araucanía,427875240000,145477581600,132641324400,72738790800,309430,52603,7,21803,221,227,0,2023
Lumaco,La Araucanía,450236020000,135070806000,112559005000,81042483600,175330,24546,3,20302,264,276,0,2023
Traiguén,La Araucanía,291516060000,102030621000,90369978600,43727409000,206418,30963,4,5599,236,231,0,2023
Purén,La Araucanía,861241160000,335884052400,275597171200,155023408800,265214,31826,6,31010,218,213,0,2023
Ercilla,La Araucanía,70676700000,21203010000,16255641000,7067670000,378367,52971,8,4302,264,274,0,2023
Puren,La Araucanía,208864600000,71013964000,66836672000,16709168000,406498,73170,8,5674,258,265,0,2023
Reüm,La Araucanía,1089095200000,381183320000,337619512000,185146184000,251739,25174,6,24361,219,223,0,2023
Valdivia,Los Ríos,133651200000,54796992000,38758848000,13365120000,460873,78348,11,8771,222,230,0,2023
Lanco,Los Ríos,595061700000,178518510000,178518510000,89259255000,169240,27078,3,20032,228,232,0,2023
Los Lagos,Los Ríos,464525880000,139357764000,153293540400,78969399600,54903,8235,1,10209,257,272,0,2023
Máfil,Los Ríos,247319880000,96454753200,66776367600,39571180800,458818,77999,9,10646,255,266,0,2023
Mariquina,Los Ríos,238291200000,76253184000,64338624000,23829120000,341165,40940,7,14184,246,247,0,2023
Panguipulli,Los Ríos,640599360000,192179808000,179367820800,89683910400,253736,27911,5,16883,258,273,0,2023
La Unión,Los Ríos,427875240000,145477581600,132641324400,72738790800,309430,52603,7,21803,221,227,0,2023
Río Bueno,Los Ríos,306963960000,104367746400,101298106800,39905314800,418435,66950,7,11012,249,262,0,2023
Lago Ranco,Los Ríos,525798040000,157739412000,184029314000,84127686400,65922,6592,1,20939,227,239,0,2023
Futrono,Los Ríos,503056170000,206253029700,171039097800,60366740400,249071,19926,5,11133,253,254,0,2023
Corral,Los Ríos,72284440000,28913776000,22408176400,8674132800,383744,61399,9,2572,237,239,0,2023
Paillaco,Los Ríos,133651200000,54796992000,38758848000,13365120000,460873,78348,11,8771,222,230,0,2023
